avg_income	median_age	median_networth
46305	42.8	55160
36732	42	36525
38074	43	41977
38568	44.1	71054
38048	45.1	49656
34867	43	33710
39291	46.3	71372
43308	45.2	95611
38289	41	53027
45510	35.8	82167
59546	40.5	141538
50603	41.6	118800
36984	42.4	47180
40402	43.7	88493
39681	40.8	57969
30371	43.9	69338
36592	41.3	57514
43180	41.9	60823
47240	43.8	113670
40932	47	39273
35877	39.7	38264
42526	39.7	56475
30454	40.7	13096
41935	43.9	89686
43809	42.9	108914
40039	46.3	80904
33699	45	71470
39933	45.7	64829
39255	41.7	90143
38388	41.6	55168
43170	42.9	102303
39607	42.8	76088
40943	38.8	40824
40220	46	70041
22050	42.5	11278
46460	44.2	124469
48094	46	136175
46607	50.5	114744
28898	37.4	12224
33098	41.2	12300
43467	41.5	44546
47547	48.7	106933
32239	41.6	13822
46656	39.9	117202
33891	42.3	56800
55541	49.2	167796
64241	49.6	288953
43299	42	76383
36152	44.5	60002
32406	42.6	23158
35755	42	50775
37450	43	71927
42894	43.7	68869
33605	40.8	46665
39570	42.8	62557
45448	48.5	138640
28087	29.2	14375
42145	36.1	51099
25063	32.3	11155
25240	32.7	11694
26614	32.7	12317
21676	42.3	9827
15806	38.3	8763
19772	27.8	9233
33005	39.5	14794
23980	34	11891
27746	35.2	13431
25633	38.5	12742
21530	34.7	10877
19227	37.6	10068
26308	36.7	10608
23011	35.7	11786
19766	43.2	11261
25091	45.6	14670
13122	18.2	7930
21869	44.1	12903
14670	51.7	9761
28473	44	28077
28518	48	22522
18454	45.6	9342
22485	41.2	11632
45952	47.9	196753
34018	39	17561
36968	34.3	16862
21590	48.9	12448
34008	32.6	14007
18987	50.4	11279
26813	38.3	12939
32318	44	21851
22560	50.5	13527
23321	49.1	14423
22585	42.5	12707
26737	47.3	19860
35567	39.1	32451
20355	41.8	10186
18763	41.9	9724
26319	37.3	11361
22371	43.1	12847
20031	44	10919
30691	48.5	30328
20631	49.3	14353
23777	36.7	11137
27983	41.5	13690
21963	34.9	11857
27432	33.3	11979
32468	36.5	54336
29378	42.5	11261
26422	37.2	11530
35773	36.2	17278
30534	36.2	31070
30643	35.1	13047
26261	31.2	12275
34141	40.3	55057
8722	22.5	7687
34765	37.8	38961
33635	30.8	11232
24427	31	10512
48538	36.2	35171
58944	35.9	100661
58728	42	225278
66122	43.3	82395
58064	41.9	103492
20336	20.3	9326
22168	35.2	9226
23678	38.7	10099
42040	36	13298
31984	37	11484
24860	38.8	9563
35378	35.4	10529
15987	34.8	8236
17989	50.3	9412
16453	49.5	8745
25270	39.6	11116
26555	45.2	11250
31563	21.5	31221
29404	42.9	12435
35482	39	16545
44063	47	112424
29296	49.4	80005
29518	50.2	37069
17642	34.9	9364
30918	43.6	35458
37208	43.4	71980
28998	34	11277
31793	35.3	13805
31652	37.5	10565
19139	43.3	10935
12857	31.4	8357
25668	42.3	12313
36076	45.9	15649
27736	41.5	11336
25531	37.9	13135
24094	37.4	9928
27560	38.6	13651
45612	34.2	31981
28857	32.2	13860
27053	33.8	12417
40979	40.1	85584
40866	36.3	66726
45127	40.9	91523
51009	40.8	119702
37426	44.6	22105
31060	45.8	11693
28908	34	11321
31744	33.9	16807
48081	34.3	39616
29972	34.3	12004
41414	40	93219
35014	36.4	21334
31923	34.6	14539
36464	35.7	13875
34301	37.7	13914
27263	42.1	17331
28467	46.8	18724
26078	39.3	12489
23785	32.1	11026
22100	41.2	10921
24023	36.2	9928
20973	36.6	9808
20455	34.5	9395
19682	55.8	9137
24345	46	11120
27664	46.3	11701
24626	41.5	11032
24457	22	8789
12212	22.2	7876
62805	42.7	24269
38605	36.3	11948
34958	37.2	11231
35565	34.1	10840
99631	45.5	304529
109113	51.4	426262
40313	34.2	11117
108746	53.5	208583
70934	43.3	14525
37493	35.2	11667
35921	38.3	11616
30429	30.5	9906
27532	34.6	9326
30703	29.2	9553
41733	33.3	13011
47862	33.6	18532
28692	27.1	9418
17174	21.5	8219
17531	36.3	8308
22378	47.1	10279
34368	46.8	29450
30258	54.8	87795
38155	55.1	126273
27461	27.8	8995
30994	28.7	10184
29545	29.1	10533
32562	40.2	25746
45748	50.5	144022
28816	44.5	18186
28349	39.4	12675
50206	48.7	181423
47787	42.6	150886
50605	48.2	168667
29042	45.7	26522
